,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,risk_cluster,ead_proxy,expected_loss_proxy,agg_cluster
484,A14,12,A34,A40,1163,A63,A73,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201,96.91666666666669,7.059617628291383,1.0,0,0,4652,mid_career,short_term,low_amount,0,0.0492840167821995,0,1163,25.792790182964108,1
869,A11,12,A32,A42,652,A61,A75,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,54.333333333333336,6.481577129276431,1.0,0,0,2608,young,short_term,low_amount,0,0.8189447385589815,0,652,240.2783862932052,1
316,A11,12,A32,A42,708,A61,A73,2,A93,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,59.0,6.5638555265321274,1.0,0,0,1416,mid_career,short_term,low_amount,0,0.3948787649464934,0,708,125.80837451195278,1
80,A14,24,A32,A43,5943,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,247.625,8.690137586397595,2.0,0,1,5943,mid_career,medium_term,high_amount,1,0.1520899933507047,1,5943,406.7418737174571,0
539,A13,18,A32,A42,3049,A61,A72,1,A92,A101,1,A122,45,A142,A152,1,A172,1,A191,A201,169.38888888888889,8.022896869601457,1.5,0,0,3049,mid_career,medium_term,medium_high_amount,0,0.4945215835167193,0,3049,678.5083386641147,1
249,A14,18,A32,A43,433,A61,A71,3,A92,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,24.055555555555557,6.073044534100405,1.5,0,0,1299,young,medium_term,low_amount,1,0.5868212975066908,0,433,114.3421298191787,1
660,A13,12,A32,A43,1297,A61,A73,3,A94,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,108.08333333333331,7.168579897264035,1.0,0,0,3891,young,short_term,low_amount,0,0.5655368475062191,0,1297,330.0755810470048,1
252,A12,30,A32,A40,2150,A61,A73,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,71.66666666666667,7.67368812926773,2.5,0,0,8600,young,long_term,medium_low_amount,1,0.9563960449328359,0,2150,925.3131734725188,1
34,A13,12,A32,A42,1474,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,122.83333333333331,7.29641326877392,1.0,0,0,5896,early_career,short_term,medium_low_amount,0,0.6882306953878901,0,1474,456.5034202507875,1
290,A14,12,A32,A49,1076,A61,A73,2,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,89.66666666666667,6.981934677156389,1.0,0,0,2152,early_career,short_term,low_amount,0,0.03647397041718619,0,1076,17.660696476001554,1
183,A14,24,A34,A42,3777,A64,A73,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,157.375,8.236950048061455,2.0,0,0,15108,mid_career,medium_term,medium_high_amount,0,0.026099002259230612,0,3777,44.359169189901316,1
515,A11,6,A34,A40,609,A61,A74,4,A92,A101,3,A122,37,A143,A152,2,A173,1,A191,A202,101.5,6.413458957167357,0.5,0,0,2436,mid_career,short_term,low_amount,0,0.10300569371886772,0,609,28.2287103636557,1
88,A11,18,A32,A40,2249,A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,124.94444444444444,7.718685495198466,1.5,0,0,8996,early_career,medium_term,medium_low_amount,0,0.5948468834576739,0,2249,602.0147884033389,1
863,A14,27,A34,A42,4526,A64,A72,4,A93,A101,2,A121,32,A142,A152,2,A172,2,A192,A201,167.62962962962962,8.417814747435958,2.25,0,1,18104,early_career,long_term,high_amount,0,0.1895125985599614,1,4526,385.9803094870734,0
403,A14,14,A33,A40,802,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A172,1,A191,A201,57.285714285714285,6.688354713946762,1.1666666666666667,0,0,3208,early_career,medium_term,low_amount,0,0.4395319426219724,0,802,158.62707809226984,1
143,A11,18,A32,A42,2462,A61,A73,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,136.77777777777777,7.809135398120538,1.5,0,0,4924,young,medium_term,medium_high_amount,1,0.5356213881694738,0,2462,593.41493595296,1
248,A13,24,A32,A42,1925,A61,A73,2,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,80.20833333333333,7.563200592358071,2.0,0,0,3850,early_career,medium_term,medium_low_amount,0,0.45731663092727837,0,1925,396.1505315407549,1
905,A11,12,A32,A43,1107,A61,A73,2,A93,A101,2,A121,20,A143,A151,1,A174,2,A192,A201,92.25,7.010311867307229,1.0,0,0,2214,young,short_term,low_amount,0,0.5392604894910012,0,1107,268.6326128399423,1
839,A14,24,A34,A43,2611,A61,A75,4,A94,A102,3,A121,46,A143,A152,2,A173,1,A191,A201,108.79166666666669,7.867871490396322,2.0,0,0,10444,mid_career,medium_term,medium_high_amount,0,0.14396731888620745,0,2611,169.15440132534945,1
575,A14,15,A34,A42,2788,A61,A74,2,A92,A102,3,A123,24,A141,A152,2,A173,1,A191,A201,185.86666666666667,7.933438387627489,1.25,0,0,5576,young,medium_term,medium_high_amount,0,0.28717540775806705,0,2788,360.29026657327097,1
32,A12,18,A32,A40,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,325.8888888888889,8.67709870892586,1.5,0,1,11732,early_career,medium_term,high_amount,0,0.6236331165873531,1,5866,1646.204337855636,0
71,A14,7,A34,A43,730,A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,104.28571428571428,6.594413459749778,0.5833333333333334,0,0,2920,mid_career,short_term,low_amount,0,0.025356380985324983,0,730,8.329571153679257,1
861,A14,18,A33,A49,2169,A61,A73,4,A94,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,120.5,7.682482446534506,1.5,0,0,8676,early_career,medium_term,medium_low_amount,1,0.27746581055916814,0,2169,270.8205043962761,1
708,A12,9,A32,A43,1206,A61,A75,4,A92,A101,4,A121,25,A143,A152,1,A173,1,A191,A201,134.0,7.095893221097532,0.75,0,0,4824,young,short_term,low_amount,0,0.5444517728613902,0,1206,295.4739771318765,1
222,A14,12,A32,A43,707,A61,A73,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,58.916666666666664,6.56244409369372,1.0,0,0,2828,early_career,short_term,low_amount,0,0.3171294504663247,0,707,100.8947346658612,1
798,A14,24,A33,A40,717,A65,A75,4,A94,A101,4,A123,54,A143,A152,2,A173,1,A192,A201,29.875,6.576469569048224,2.0,0,0,2868,senior,medium_term,low_amount,0,0.33918316820959393,0,717,109.43744922282549,1
93,A13,24,A34,A42,3617,A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,150.70833333333334,8.193676665955241,2.0,0,0,14468,young,medium_term,medium_high_amount,0,0.6117787469207688,0,3617,995.7616774255894,1
49,A14,12,A32,A43,2073,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,172.75,7.637234388789473,1.0,0,0,8292,early_career,short_term,medium_low_amount,0,0.1942300634422193,0,2073,181.1875146820743,1
90,A14,12,A34,A43,618,A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,51.5,6.428105272684596,1.0,0,0,2472,senior,short_term,low_amount,0,0.05889506706593496,0,618,16.378718151036512,1
690,A11,15,A34,A42,975,A61,A73,2,A91,A101,3,A122,25,A143,A152,2,A173,1,A191,A201,65.0,6.883462586413092,1.25,0,0,1950,young,medium_term,low_amount,0,0.77781353261268,0,975,341.26568743381335,1
995,A14,12,A32,A42,1736,A61,A74,3,A92,A101,4,A121,31,A143,A152,1,A172,1,A191,A201,144.66666666666666,7.459914766241105,1.0,0,0,5208,early_career,short_term,medium_low_amount,0,0.11740031015116437,0,1736,91.7131222900896,1
922,A11,9,A32,A43,1366,A61,A72,3,A92,A101,4,A122,22,A143,A151,1,A173,1,A191,A201,151.77777777777777,7.220373836723949,0.75,0,0,4098,young,short_term,medium_low_amount,1,0.6666665517778524,0,1366,409.79992937784584,1
892,A11,12,A34,A40,2171,A61,A73,4,A93,A101,4,A122,38,A141,A152,2,A172,1,A191,A202,180.91666666666663,7.683403681053826,1.0,0,0,8684,mid_career,short_term,medium_low_amount,0,0.2785190685725034,0,2171,272.0992040419072,1
266,A14,36,A34,A49,6304,A65,A75,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,175.11111111111111,8.74909824839902,3.0,1,1,25216,mid_career,long_term,high_amount,0,0.129221580822671,1,6304,366.5757804777531,0
176,A11,12,A32,A42,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,214.75,7.8547691834991324,1.0,0,0,5154,mid_career,short_term,medium_high_amount,0,0.5088928351089319,0,2577,590.1375762340729,1
577,A14,24,A34,A46,1927,A65,A73,3,A92,A101,2,A123,33,A143,A152,2,A173,1,A192,A201,80.29166666666667,7.564238475170491,2.0,0,0,5781,early_career,medium_term,medium_low_amount,0,0.20480871727482408,0,1927,177.5998791848637,1
912,A12,30,A32,A43,2991,A65,A75,2,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,99.7,8.003697339094368,2.5,0,0,5982,young,long_term,medium_high_amount,0,0.27270590105539316,0,2991,367.0485075255064,1
886,A12,24,A34,A49,2825,A65,A74,4,A93,A101,3,A124,34,A143,A152,2,A173,2,A192,A201,117.70833333333331,7.946617563244473,2.0,0,0,11300,early_career,medium_term,medium_high_amount,0,0.2009335597175581,0,2825,255.43678779094577,1
499,A13,6,A34,A40,1323,A62,A75,2,A91,A101,4,A123,28,A143,A152,2,A173,2,A192,A201,220.5,7.188412736496954,0.5,0,0,2646,early_career,short_term,low_amount,0,0.4585929252069752,0,1323,273.02329802197266,1
326,A14,12,A34,A42,5801,A65,A75,2,A93,A101,4,A122,49,A143,A151,1,A173,1,A192,A201,483.4166666666667,8.665957964681349,1.0,0,1,11602,mid_career,short_term,high_amount,0,0.046712354590957815,1,5801,121.94026604196584,0
786,A14,22,A32,A43,2675,A63,A75,3,A93,A101,4,A123,40,A143,A152,1,A173,1,A191,A201,121.5909090909091,7.892078421248119,1.8333333333333333,0,0,8025,mid_career,medium_term,medium_high_amount,0,0.07173528678835021,0,2675,86.35135147147658,1
285,A11,47,A32,A40,10722,A61,A72,1,A92,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,228.12765957446808,9.280146246220143,3.9166666666666665,1,1,10722,early_career,very_long_term,high_amount,0,0.8765973147094157,1,10722,4229.49438374146,0
86,A12,18,A34,A42,1295,A61,A72,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,71.94444444444444,7.16703787691222,1.5,0,0,5180,early_career,medium_term,low_amount,0,0.7577953513828015,0,1295,441.60524101832755,1
781,A14,24,A34,A40,1940,A64,A75,4,A93,A101,4,A121,60,A143,A152,1,A173,1,A192,A201,80.83333333333333,7.57095858316901,2.0,0,0,7760,senior,medium_term,medium_low_amount,0,0.06222936043762176,0,1940,54.3262316620438,1
644,A11,18,A34,A43,1880,A61,A74,4,A94,A101,1,A122,32,A143,A152,2,A174,1,A192,A201,104.44444444444444,7.53955882930103,1.5,0,0,7520,early_career,medium_term,medium_low_amount,0,0.3122183975239724,0,1880,264.1367643052807,1
73,A12,42,A34,A49,5954,A61,A74,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,141.76190476190476,8.691986481789401,3.5,1,1,11908,mid_career,very_long_term,high_amount,0,0.542703552822594,1,5954,1454.0656290775762,0
884,A12,24,A32,A42,4057,A61,A74,3,A91,A101,3,A123,43,A143,A152,1,A173,1,A192,A201,169.04166666666666,8.30844552038576,2.0,0,1,12171,mid_career,medium_term,high_amount,1,0.6722203776892645,1,4057,1227.2391325284057,0
925,A11,12,A31,A40,697,A61,A72,4,A93,A101,2,A123,46,A141,A152,2,A173,1,A192,A201,58.083333333333336,6.548219102762372,1.0,0,0,2788,mid_career,short_term,low_amount,1,0.8734153386907476,0,697,273.946720980353,1
530,A12,36,A32,A46,2273,A61,A74,3,A93,A101,1,A123,32,A143,A152,2,A173,2,A191,A201,63.138888888888886,7.729295674310482,3.0,1,0,6819,early_career,long_term,medium_low_amount,0,0.8838809827368275,0,2273,904.077663192364,0
319,A11,15,A33,A42,3643,A61,A75,1,A92,A101,4,A122,27,A143,A152,2,A172,1,A191,A201,242.86666666666667,8.200837258379849,1.25,0,0,3643,early_career,medium_term,medium_high_amount,0,0.5421386300253647,0,3643,888.7549631320816,1
421,A12,12,A32,A41,2028,A65,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,169.0,7.615298339825815,1.0,0,0,8112,early_career,short_term,medium_low_amount,0,0.1013149002572912,0,2028,92.45997797480395,1
468,A14,33,A33,A49,2764,A61,A73,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A192,A201,83.75757575757575,7.9247959139564355,2.75,0,0,5528,early_career,long_term,medium_high_amount,0,0.18777384496440716,0,2764,233.55310836672965,1
311,A14,24,A32,A42,5511,A62,A73,4,A93,A101,1,A123,25,A142,A152,1,A173,1,A191,A201,229.625,8.614682812693495,2.0,0,1,22044,young,medium_term,high_amount,0,0.6613370137188255,1,5511,1640.0827271720011,0
174,A11,21,A33,A46,3414,A61,A72,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,162.57142857142858,8.13593277200489,1.75,0,0,6828,early_career,medium_term,medium_high_amount,1,0.797603235180682,0,3414,1225.3578502080818,1
27,A13,12,A31,A43,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,34.083333333333336,6.016157159698354,1.0,0,0,1227,mid_career,short_term,low_amount,0,0.19159471290739782,0,409,35.26300691060657,1
496,A12,36,A32,A42,9034,A62,A72,4,A93,A102,1,A124,29,A143,A151,1,A174,1,A192,A201,250.94444444444449,9.10886120302633,3.0,1,1,36136,early_career,long_term,high_amount,1,0.9785306978524109,1,9034,3978.0208459794057,0
420,A14,15,A32,A40,3186,A64,A74,2,A92,A101,3,A123,20,A143,A151,1,A173,1,A191,A201,212.4,8.066835314417336,1.25,0,0,6372,young,medium_term,medium_high_amount,0,0.11321995964554955,0,3186,162.3234561438244,1
988,A11,24,A32,A41,6579,A61,A71,4,A93,A101,2,A124,29,A143,A153,1,A174,1,A192,A201,274.125,8.791790024319363,2.0,0,1,26316,early_career,medium_term,high_amount,0,0.765668971992189,1,6579,2266.801275031475,0
710,A14,18,A34,A43,629,A63,A75,4,A93,A101,3,A122,32,A141,A152,2,A174,1,A192,A201,34.94444444444444,6.4457198193855785,1.5,0,0,2516,early_career,medium_term,low_amount,0,0.1616812110019077,0,629,45.763866774089976,1
286,A11,48,A32,A41,4788,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,99.75,8.47407690034261,4.0,1,1,19152,early_career,very_long_term,high_amount,0,0.657637478522947,1,4788,1416.9457112255416,0
411,A14,33,A34,A41,7253,A61,A74,3,A93,A101,2,A123,35,A143,A152,2,A174,1,A192,A201,219.7878787878788,8.889308319842847,2.75,0,1,21759,early_career,long_term,high_amount,0,0.07924001180840838,1,7253,258.6275125408737,0
394,A14,9,A34,A42,2406,A61,A71,2,A93,A101,3,A123,31,A143,A152,1,A174,1,A191,A201,267.3333333333333,7.786136437783072,0.75,0,0,4812,early_career,short_term,medium_high_amount,0,0.04106361396862928,0,2406,44.45957484383492,1
67,A12,12,A32,A40,1007,A64,A73,4,A94,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,83.91666666666667,6.915723448631314,1.0,0,0,4028,young,short_term,low_amount,0,0.4143159890930101,0,1007,187.74729045749754,1
830,A14,24,A33,A49,2375,A63,A73,4,A93,A101,2,A123,44,A143,A152,2,A173,2,A192,A201,98.95833333333331,7.773173680482536,2.0,0,0,9500,mid_career,medium_term,medium_high_amount,0,0.13157432289271243,0,2375,140.6200575915864,1
707,A12,12,A30,A42,2969,A61,A72,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A191,A201,247.41666666666663,7.996317231796746,1.0,0,0,11876,young,short_term,medium_high_amount,1,0.8646536376719083,0,2969,1155.220492611553,1
479,A11,15,A34,A42,1478,A61,A75,4,A93,A101,4,A123,44,A143,A152,2,A173,2,A192,A201,98.53333333333332,7.2991214627108,1.25,0,0,5912,mid_career,medium_term,medium_low_amount,0,0.4196512057663235,0,1478,279.1100169551818,1
790,A12,21,A32,A49,1188,A61,A75,2,A92,A101,4,A122,39,A143,A152,1,A173,2,A191,A201,56.57142857142857,7.080867896690782,1.75,0,0,2376,mid_career,medium_term,low_amount,1,0.6824944046944844,0,1188,364.8615087496714,1
733,A14,24,A32,A41,2603,A64,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A192,A201,108.45833333333331,7.86480400332846,2.0,0,0,5206,early_career,medium_term,medium_high_amount,0,0.036066975646133946,0,2603,42.247051923098994,1
518,A11,6,A32,A40,1203,A62,A75,3,A93,A101,2,A122,43,A143,A152,1,A173,1,A192,A201,200.5,7.093404625868766,0.5,0,0,3609,mid_career,short_term,low_amount,0,0.4156200309233571,0,1203,224.99590374035935,1
303,A11,10,A34,A40,1038,A61,A74,4,A93,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,103.8,6.946013991099227,0.8333333333333334,0,0,4152,mid_career,short_term,low_amount,0,0.3567773230439898,0,1038,166.65068759384764,1
569,A11,48,A32,A43,6758,A61,A73,3,A92,A101,2,A123,31,A143,A152,1,A173,1,A192,A201,140.79166666666666,8.818630229100354,4.0,1,1,20274,early_career,very_long_term,high_amount,1,0.8500688916716413,1,6758,2585.1445064626287,0
214,A14,36,A34,A43,3342,A65,A75,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,92.83333333333331,8.114623886420098,3.0,1,0,13368,senior,long_term,medium_high_amount,0,0.05110292674324796,1,3342,76.85369152917062,0
66,A14,12,A32,A43,2171,A61,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,180.91666666666663,7.683403681053826,1.0,0,0,4342,early_career,short_term,medium_low_amount,0,0.39960318302127523,0,2171,390.3923296526348,1
984,A14,24,A34,A42,2028,A61,A74,2,A93,A101,2,A122,30,A143,A152,2,A172,1,A191,A201,84.5,7.615298339825815,2.0,0,0,4056,early_career,medium_term,medium_low_amount,0,0.10625568538051641,0,2028,96.96893847825929,1
704,A12,27,A32,A49,2528,A61,A72,4,A92,A101,1,A122,32,A143,A152,1,A173,2,A192,A201,93.62962962962963,7.835579246669965,2.25,0,0,10112,early_career,long_term,medium_high_amount,0,0.653286214721701,0,2528,743.178397867407,1
120,A11,21,A32,A43,1835,A61,A73,3,A92,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,87.38095238095238,7.515344571180436,1.75,0,0,5505,young,medium_term,medium_low_amount,1,0.6710653371280526,0,1835,554.1322021334894,1
170,A11,15,A30,A40,950,A61,A75,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,63.333333333333336,6.85751406254539,1.25,0,0,3800,early_career,medium_term,low_amount,1,0.963291432174032,0,950,411.8070872543987,1
3,A11,42,A32,A42,7882,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,187.66666666666663,8.972463821059907,3.5,1,1,15764,mid_career,very_long_term,high_amount,0,0.47457217918788297,1,7882,1683.2600623615022,0
232,A14,12,A32,A43,2141,A62,A74,3,A93,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,178.41666666666666,7.669495251007694,1.0,0,0,6423,early_career,short_term,medium_low_amount,0,0.12505455840504376,0,2141,120.48381429533941,1
255,A12,60,A33,A43,7418,A65,A73,1,A93,A101,1,A121,27,A143,A152,1,A172,1,A191,A201,123.63333333333334,8.911799556189527,5.0,1,1,7418,early_career,very_long_term,high_amount,0,0.4134947838764832,1,7418,1380.2869380580887,0
121,A14,24,A34,A41,3868,A61,A75,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,161.16666666666666,8.260751354700513,2.0,0,0,15472,mid_career,medium_term,medium_high_amount,0,0.09307285453053132,0,3868,162.0026105958428,1
381,A12,18,A32,A41,12976,A61,A71,3,A92,A101,4,A124,38,A143,A153,1,A174,1,A192,A201,720.8888888888889,9.470933838737231,1.5,0,1,38928,mid_career,medium_term,high_amount,1,0.8046415225008836,1,12976,4698.46277818716,0
408,A14,24,A32,A43,3235,A63,A75,3,A91,A101,2,A123,26,A143,A152,1,A174,1,A192,A201,134.79166666666666,8.082093278178382,2.0,0,0,9705,early_career,medium_term,medium_high_amount,0,0.1912327334043103,0,3235,278.38705165332476,1
374,A12,60,A31,A410,14782,A62,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,246.36666666666667,9.60123315090109,5.0,1,1,44346,senior,very_long_term,high_amount,1,0.9752316838210671,1,14782,6487.143637609356,0
511,A14,36,A32,A41,4686,A61,A73,2,A93,A101,2,A124,32,A143,A153,1,A174,1,A192,A201,130.16666666666666,8.452547997922705,3.0,1,1,9372,early_career,long_term,high_amount,0,0.18359319381793027,1,4686,387.14296780386957,0
889,A14,28,A31,A41,7824,A65,A72,3,A93,A103,4,A121,40,A141,A151,2,A173,2,A192,A201,279.42857142857144,8.965079015408355,2.3333333333333335,0,1,23472,mid_career,long_term,high_amount,0,0.3158998012894631,1,7824,1112.2200203799416,0
352,A14,18,A34,A41,3229,A65,A71,2,A93,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,179.38888888888889,8.080237416216702,1.5,0,0,6458,mid_career,medium_term,medium_high_amount,0,0.010787884902534762,0,3229,15.675336157628136,1
476,A14,39,A32,A41,2569,A63,A73,4,A93,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,65.87179487179488,7.851661177889265,3.25,1,0,10276,young,very_long_term,medium_high_amount,0,0.07938313012103937,1,2569,91.77086757642758,0
557,A14,21,A30,A40,5003,A65,A73,1,A92,A101,4,A122,29,A141,A152,2,A173,1,A192,A201,238.23809523809524,8.517992871586802,1.75,0,1,5003,early_career,medium_term,high_amount,1,0.5169613011537404,1,5003,1163.8608253524735,0
502,A13,9,A32,A43,1126,A62,A75,2,A91,A101,4,A121,49,A143,A152,1,A173,1,A191,A201,125.11111111111111,7.027314514039777,0.75,0,0,2252,mid_career,short_term,low_amount,0,0.32218114515826646,0,1126,163.24918625169363,1
368,A11,36,A32,A42,3446,A61,A75,4,A93,A101,2,A123,42,A143,A152,1,A173,2,A191,A201,95.72222222222224,8.145259566516865,3.0,1,0,13784,mid_career,long_term,medium_high_amount,1,0.8090622411748024,1,3446,1254.612817389766,0
54,A12,36,A33,A40,2225,A61,A75,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,61.80555555555556,7.70796153183549,3.0,1,0,8900,senior,long_term,medium_low_amount,1,0.930744424713934,1,2225,931.9078552448265,0
745,A11,13,A34,A49,1797,A61,A72,3,A93,A101,1,A122,28,A141,A152,2,A172,1,A191,A201,138.23076923076923,7.494430215031565,1.0833333333333333,0,0,5391,early_career,medium_term,medium_low_amount,0,0.6947559710359067,0,1797,561.8144159781859,1
147,A14,12,A34,A40,682,A62,A74,4,A92,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,56.833333333333336,6.52649485957079,1.0,0,0,2728,senior,short_term,low_amount,0,0.08727952063660065,0,682,26.78608488337274,1
531,A12,15,A32,A40,2631,A62,A73,2,A92,A101,4,A123,28,A143,A151,2,A173,1,A192,A201,175.4,7.875499292445208,1.25,0,0,5262,early_career,medium_term,medium_high_amount,1,0.5012366956943194,0,2631,593.4391858672894,1
697,A14,12,A34,A40,926,A61,A71,1,A92,A101,2,A122,38,A143,A152,1,A171,1,A191,A201,77.16666666666667,6.831953565565855,1.0,0,0,926,mid_career,short_term,low_amount,0,0.07985987459426917,0,926,33.27760974343197,1
200,A14,9,A34,A46,936,A63,A75,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,104.0,6.842683282238422,0.75,0,0,3744,senior,short_term,low_amount,0,0.1499688101335163,0,936,63.166862828237065,1
538,A11,48,A32,A40,7763,A61,A75,4,A93,A101,4,A124,42,A141,A153,1,A174,1,A191,A201,161.72916666666666,8.957252944288902,4.0,1,1,31052,mid_career,very_long_term,high_amount,1,0.9705492007856851,1,7763,3390.468050564673,0
175,A14,30,A31,A41,7485,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,249.5,8.920789888464375,2.5,0,1,29940,senior,long_term,high_amount,1,0.4718941425645313,1,7485,1589.4574456929827,0
540,A12,12,A32,A43,1534,A61,A72,1,A94,A101,1,A121,23,A143,A151,1,A173,1,A191,A201,127.83333333333331,7.336285660021297,1.0,0,0,1534,young,short_term,medium_low_amount,1,0.46384266566908583,0,1534,320.19059211136994,1
927,A11,48,A32,A41,10297,A61,A74,4,A93,A101,4,A124,39,A142,A153,3,A173,2,A192,A201,214.52083333333337,9.239704980606088,4.0,1,1,41188,mid_career,very_long_term,high_amount,1,0.855592230682943,1,10297,3964.5149397040186,0
780,A12,39,A34,A43,4933,A61,A74,2,A93,A103,2,A121,25,A143,A152,2,A173,1,A191,A201,126.48717948717947,8.503905297089302,3.25,1,1,9866,young,very_long_term,high_amount,1,0.17575846507721274,1,4933,390.15742870165076,0
69,A14,36,A32,A43,2394,A65,A73,4,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,66.5,7.781138509845015,3.0,1,0,9576,young,long_term,medium_high_amount,0,0.20609041962714478,0,2394,222.02120906432305,0
550,A14,12,A34,A45,996,A65,A74,4,A92,A101,4,A121,23,A143,A152,2,A173,1,A191,A201,83.0,6.904750769961838,1.0,0,0,3984,young,short_term,low_amount,0,0.07147018438312329,0,996,32.032936640515864,1
899,A11,18,A32,A42,4153,A61,A73,2,A93,A102,3,A123,42,A143,A152,1,A173,1,A191,A201,230.72222222222223,8.331827004436057,1.5,0,1,8306,mid_career,medium_term,high_amount,1,0.7272300785638912,1,4153,1359.0839323241282,0
955,A11,24,A34,A43,1231,A64,A75,4,A92,A101,4,A122,57,A143,A151,2,A174,1,A192,A201,51.291666666666664,7.116394144093465,2.0,0,0,4924,senior,medium_term,low_amount,0,0.48198165204928234,0,1231,266.99373615269997,1
377,A14,7,A33,A43,846,A65,A75,3,A93,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,120.85714285714286,6.741700694652055,0.5833333333333334,0,0,2538,mid_career,short_term,low_amount,0,0.037140355107350004,0,846,14.139333189368147,1
643,A14,24,A34,A43,1851,A61,A74,4,A94,A103,2,A123,33,A143,A152,2,A173,1,A192,A201,77.125,7.524021415206125,2.0,0,0,7404,early_career,medium_term,medium_low_amount,0,0.08487719837048431,0,1851,70.6984623826949,1
155,A11,12,A32,A42,1282,A61,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,106.83333333333331,7.1569563646156364,1.0,0,0,2564,young,short_term,low_amount,1,0.8103911756758498,0,1282,467.51466924739776,1
387,A12,18,A34,A42,7374,A61,A71,4,A93,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,409.6666666666667,8.905851181208021,1.5,0,1,29496,mid_career,medium_term,high_amount,0,0.6778709391462473,1,7374,2249.379137368993,0
154,A12,24,A33,A49,6967,A62,A74,4,A93,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,290.2916666666667,8.849083518532339,2.0,0,1,27868,mid_career,medium_term,high_amount,0,0.5458853142354819,1,6967,1711.4323429253711,0
895,A14,36,A33,A41,8947,A65,A74,3,A93,A101,2,A123,31,A142,A152,1,A174,2,A192,A201,248.52777777777777,9.09918532261002,3.0,1,1,26841,early_career,long_term,high_amount,0,0.15414552804793244,1,8947,620.6130177501833,0
