,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket
494,A11,12,A34,A40,2122,A61,A73,3,A93,A101,2,A121,39,A143,A151,2,A172,2,A191,A202,176.83333333333334,7.660585461703256,1.0,0,0,6366,mid_career,short_term,medium_low_amount
407,A11,15,A32,A43,1053,A61,A72,4,A94,A101,2,A121,27,A143,A152,1,A173,1,A191,A202,70.2,6.960347729101308,1.25,0,0,4212,early_career,medium_term,low_amount
114,A11,12,A32,A43,1680,A63,A75,3,A94,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,140.0,7.427144133408616,1.0,0,0,5040,early_career,short_term,medium_low_amount
857,A14,15,A34,A42,3343,A61,A73,4,A93,A101,2,A124,28,A143,A153,1,A173,1,A192,A201,222.86666666666667,8.114922974204593,1.25,0,0,13372,early_career,medium_term,medium_high_amount
626,A13,6,A32,A42,2116,A61,A73,2,A93,A101,2,A121,41,A143,A152,1,A173,1,A192,A201,352.6666666666667,7.6577552711348655,0.5,0,0,4232,mid_career,short_term,medium_low_amount
458,A11,6,A32,A44,343,A61,A72,4,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,57.166666666666664,5.840641657373398,0.5,0,0,1372,early_career,short_term,low_amount
242,A11,48,A30,A41,4605,A61,A75,3,A93,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,95.9375,8.43511508038063,4.0,1,1,13815,young,very_long_term,high_amount
675,A14,30,A34,A43,4530,A61,A74,4,A92,A101,4,A123,26,A143,A151,1,A174,1,A192,A201,151.0,8.418697944667139,2.5,0,1,18120,early_career,long_term,high_amount
813,A11,48,A32,A44,3051,A61,A73,3,A93,A101,4,A123,54,A143,A152,1,A173,1,A191,A201,63.5625,8.023552392404348,4.0,1,0,9153,senior,very_long_term,medium_high_amount
410,A12,24,A32,A43,1967,A61,A75,4,A92,A101,4,A123,20,A143,A152,1,A173,1,A192,A201,81.95833333333333,7.584773077612199,2.0,0,0,7868,young,medium_term,medium_low_amount
907,A12,36,A32,A46,3711,A65,A73,2,A94,A101,2,A123,27,A143,A152,1,A173,1,A191,A201,103.08333333333333,8.21932609390609,3.0,1,0,7422,early_career,long_term,medium_high_amount
35,A12,45,A34,A43,4746,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,105.46666666666667,8.465268118551318,3.75,1,1,18984,young,very_long_term,high_amount
940,A14,12,A32,A40,3527,A65,A72,2,A93,A101,3,A122,45,A143,A152,1,A174,2,A192,A201,293.9166666666667,8.168486417126681,1.0,0,0,7054,mid_career,short_term,medium_high_amount
602,A12,24,A31,A46,1837,A61,A74,4,A92,A101,4,A124,34,A141,A153,1,A172,1,A191,A201,76.54166666666667,7.516433302915632,2.0,0,0,7348,early_career,medium_term,medium_low_amount
808,A12,42,A31,A41,9283,A61,A71,1,A93,A101,2,A124,55,A141,A153,1,A174,1,A192,A201,221.02380952380952,9.136047767394327,3.5,1,1,9283,senior,very_long_term,high_amount
881,A14,24,A32,A41,9277,A65,A73,2,A91,A101,4,A124,48,A143,A153,1,A173,1,A192,A201,386.5416666666667,9.135401285311689,2.0,0,1,18554,mid_career,medium_term,high_amount
144,A14,21,A34,A42,2288,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,108.95238095238095,7.735870319952567,1.75,0,0,9152,young,medium_term,medium_low_amount
553,A12,12,A34,A40,1995,A62,A72,4,A93,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,166.25,7.59890045687141,1.0,0,0,7980,early_career,short_term,medium_low_amount
600,A12,7,A32,A43,2329,A61,A72,1,A92,A103,1,A121,45,A143,A152,1,A173,1,A191,A201,332.7142857142857,7.753623546559746,0.5833333333333334,0,0,2329,mid_career,short_term,medium_high_amount
932,A14,9,A34,A40,1224,A61,A73,3,A93,A101,1,A121,30,A143,A152,2,A173,1,A191,A201,136.0,7.110696122978827,0.75,0,0,3672,early_career,short_term,low_amount
419,A12,18,A32,A40,1042,A65,A73,4,A92,A101,2,A122,33,A143,A152,1,A173,1,A191,A201,57.888888888888886,6.949856455000773,1.5,0,0,4168,early_career,medium_term,low_amount
487,A14,24,A32,A40,3757,A61,A75,4,A92,A102,4,A124,62,A143,A153,1,A173,1,A192,A201,156.54166666666666,8.231642179973411,2.0,0,0,15028,senior,medium_term,medium_high_amount
196,A14,6,A34,A43,1382,A61,A73,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,230.33333333333334,7.232010331664759,0.5,0,0,1382,early_career,short_term,medium_low_amount
422,A12,12,A34,A40,958,A61,A74,2,A93,A101,3,A121,47,A143,A152,2,A172,2,A191,A201,79.83333333333333,6.8658910748834385,1.0,0,0,1916,mid_career,short_term,low_amount
951,A11,36,A33,A49,2145,A61,A74,2,A93,A101,1,A123,24,A143,A152,2,A173,1,A192,A201,59.583333333333336,7.671360923190644,3.0,1,0,4290,young,long_term,medium_low_amount
493,A12,6,A32,A43,368,A65,A75,4,A93,A101,4,A122,38,A143,A152,1,A173,1,A191,A201,61.333333333333336,5.910796644040527,0.5,0,0,1472,mid_career,short_term,low_amount
388,A12,15,A34,A49,2326,A63,A73,2,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,155.06666666666666,7.752335163302292,1.25,0,0,4652,early_career,medium_term,medium_high_amount
987,A14,13,A32,A43,1409,A62,A71,2,A92,A101,4,A121,64,A143,A152,1,A173,1,A191,A201,108.38461538461539,7.251344983372214,1.0833333333333333,0,0,2818,senior,medium_term,medium_low_amount
331,A14,18,A34,A46,1864,A62,A73,4,A92,A101,2,A121,30,A143,A152,2,A173,1,A191,A201,103.55555555555556,7.5310163320779155,1.5,0,0,7456,early_career,medium_term,medium_low_amount
497,A14,24,A34,A42,1585,A61,A74,4,A93,A101,3,A122,40,A143,A152,2,A173,1,A191,A201,66.04166666666667,7.368970402194793,2.0,0,0,6340,mid_career,medium_term,medium_low_amount
370,A14,36,A32,A40,3079,A65,A73,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,85.52777777777777,8.03268487596762,3.0,1,0,12316,mid_career,long_term,medium_high_amount
870,A14,36,A33,A42,7678,A63,A74,2,A92,A101,4,A123,40,A143,A152,2,A173,1,A192,A201,213.27777777777777,8.946244609330543,3.0,1,1,15356,mid_career,long_term,high_amount
392,A11,36,A32,A40,3249,A61,A74,2,A93,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,90.25,8.086410275323782,3.0,1,0,6498,mid_career,long_term,medium_high_amount
206,A14,12,A34,A42,1935,A61,A75,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,161.25,7.568379267836522,1.0,0,0,7740,mid_career,short_term,medium_low_amount
967,A14,15,A32,A43,3568,A61,A75,4,A92,A101,2,A123,54,A141,A151,1,A174,1,A192,A201,237.86666666666667,8.18004072349016,1.25,0,0,14272,senior,medium_term,medium_high_amount
701,A11,48,A34,A41,6331,A61,A75,4,A93,A101,4,A124,46,A143,A153,2,A173,1,A192,A201,131.89583333333334,8.753371421000903,4.0,1,1,25324,mid_career,very_long_term,high_amount
952,A12,24,A32,A41,4113,A63,A72,3,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,171.375,8.322151070212902,2.0,0,1,12339,early_career,medium_term,high_amount
767,A14,10,A32,A41,2901,A65,A72,1,A92,A101,4,A121,31,A143,A151,1,A173,1,A191,A201,290.1,7.973155433444133,0.8333333333333334,0,0,2901,early_career,short_term,medium_high_amount
670,A14,24,A34,A49,4139,A62,A73,3,A93,A101,3,A122,27,A143,A152,2,A172,1,A192,A201,172.45833333333334,8.32845106681936,2.0,0,1,12417,early_career,medium_term,high_amount
26,A14,6,A30,A43,426,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,71.0,6.056784013228625,0.5,0,0,1704,mid_career,short_term,low_amount
436,A14,6,A32,A45,660,A63,A74,2,A94,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,110.0,6.493753839851686,0.5,0,0,1320,young,short_term,low_amount
457,A11,12,A32,A41,3386,A61,A75,3,A93,A101,4,A124,35,A143,A153,1,A173,1,A192,A201,282.1666666666667,8.127699852817772,1.0,0,0,10158,early_career,short_term,medium_high_amount
517,A14,36,A34,A42,7127,A61,A72,2,A92,A101,4,A122,23,A143,A151,2,A173,1,A192,A201,197.97222222222223,8.871785969150645,3.0,1,1,14254,young,long_term,high_amount
195,A12,9,A34,A46,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,166.77777777777777,7.31455283232408,0.75,0,0,3002,early_career,short_term,medium_low_amount
719,A12,20,A30,A41,6148,A62,A75,3,A94,A101,4,A123,31,A141,A152,2,A173,1,A192,A201,307.4,8.724044745953469,1.6666666666666667,0,1,18444,early_career,medium_term,high_amount
464,A14,18,A32,A49,1950,A61,A74,4,A93,A101,1,A123,34,A142,A152,2,A173,1,A192,A201,108.33333333333333,7.576097340623111,1.5,0,0,7800,early_career,medium_term,medium_low_amount
241,A14,6,A32,A43,1595,A61,A74,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,265.8333333333333,7.3752557780097545,0.5,0,0,4785,senior,short_term,medium_low_amount
158,A12,24,A32,A40,3512,A62,A74,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,146.33333333333334,8.164225652265827,2.0,0,0,7024,mid_career,medium_term,medium_high_amount
957,A12,9,A34,A43,1154,A61,A75,2,A93,A101,4,A121,37,A143,A152,3,A172,1,A191,A201,128.22222222222223,7.051855622955894,0.75,0,0,2308,mid_career,short_term,low_amount
446,A11,36,A32,A40,1842,A61,A72,4,A92,A101,4,A123,34,A143,A152,1,A173,1,A192,A201,51.166666666666664,7.519149957669823,3.0,1,0,7368,early_career,long_term,medium_low_amount
609,A14,15,A32,A41,1300,A65,A75,4,A93,A101,4,A124,45,A141,A153,1,A173,2,A191,A201,86.66666666666667,7.170888478512505,1.25,0,0,5200,mid_career,medium_term,low_amount
108,A11,24,A32,A42,7721,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,321.7083333333333,8.951828676824181,2.0,0,1,7721,early_career,medium_term,high_amount
9,A12,30,A34,A40,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,174.46666666666667,8.563122123304638,2.5,0,1,20936,early_career,long_term,high_amount
962,A14,15,A32,A40,3556,A65,A73,3,A93,A101,2,A124,29,A143,A152,1,A173,1,A191,A201,237.06666666666666,8.176672771948455,1.25,0,0,10668,early_career,medium_term,medium_high_amount
625,A14,15,A32,A43,1979,A65,A75,4,A93,A101,2,A123,35,A143,A152,1,A173,1,A191,A201,131.93333333333334,7.590852123688581,1.25,0,0,7916,early_career,medium_term,medium_low_amount
768,A12,12,A34,A42,3617,A61,A75,1,A93,A101,4,A123,28,A143,A151,3,A173,1,A192,A201,301.4166666666667,8.193676665955241,1.0,0,0,3617,early_career,short_term,medium_high_amount
720,A13,9,A30,A43,1337,A61,A72,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,148.55555555555554,7.198931240688173,0.75,0,0,5348,early_career,short_term,low_amount
525,A12,26,A32,A41,7966,A61,A72,2,A93,A101,3,A123,30,A143,A152,2,A173,1,A191,A201,306.38461538461536,8.983063289380366,2.1666666666666665,0,1,15932,early_career,long_term,high_amount
673,A14,6,A34,A40,2080,A63,A73,1,A94,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,346.6666666666667,7.640603826393634,0.5,0,0,2080,young,short_term,medium_low_amount
679,A14,18,A32,A43,1453,A61,A72,3,A92,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,80.72222222222223,7.282073658093465,1.5,0,0,4359,early_career,medium_term,medium_low_amount
189,A12,18,A30,A42,3244,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,180.22222222222223,8.08487062913819,1.5,0,0,3244,early_career,medium_term,medium_high_amount
152,A13,36,A32,A43,5848,A61,A73,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,162.44444444444446,8.674025985443025,3.0,1,1,23392,young,long_term,high_amount
590,A11,12,A34,A43,385,A61,A74,4,A92,A101,3,A121,58,A143,A152,4,A172,1,A192,A201,32.083333333333336,5.955837369464831,1.0,0,0,1540,senior,short_term,low_amount
601,A12,9,A32,A42,918,A61,A73,4,A92,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,102.0,6.823286122355687,0.75,0,0,3672,early_career,short_term,low_amount
132,A14,15,A32,A42,2708,A61,A72,2,A93,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,180.53333333333333,7.904334842085095,1.25,0,0,5416,early_career,medium_term,medium_high_amount
529,A11,6,A32,A40,662,A61,A72,3,A93,A101,4,A121,41,A143,A152,1,A172,2,A192,A201,110.33333333333333,6.4967749901858625,0.5,0,0,1986,mid_career,short_term,low_amount
566,A11,12,A32,A40,1372,A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,114.33333333333333,7.224753405767971,1.0,0,0,2744,mid_career,short_term,medium_low_amount
888,A14,36,A34,A40,6614,A61,A75,4,A93,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,183.72222222222223,8.797095076549056,3.0,1,1,26456,early_career,long_term,high_amount
789,A11,40,A34,A46,5998,A61,A73,4,A93,A101,3,A124,27,A141,A152,1,A173,1,A192,A201,149.95,8.699348067653093,3.3333333333333335,1,1,23992,early_career,very_long_term,high_amount
730,A12,24,A33,A43,6403,A61,A72,1,A93,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,266.7916666666667,8.764678074116606,2.0,0,1,6403,early_career,medium_term,high_amount
19,A14,24,A32,A43,3430,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,142.91666666666666,8.14060704285845,2.0,0,0,10290,early_career,medium_term,medium_high_amount
712,A14,21,A32,A41,2476,A65,A75,4,A93,A101,4,A121,46,A143,A152,1,A174,1,A192,A201,117.9047619047619,7.814803429489359,1.75,0,0,9904,mid_career,medium_term,medium_high_amount
693,A11,6,A34,A40,4716,A65,A72,1,A93,A101,3,A121,44,A143,A152,2,A172,2,A191,A201,786.0,8.458928283284262,0.5,0,1,4716,mid_career,short_term,high_amount
365,A14,12,A32,A49,1542,A61,A74,2,A93,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,128.5,7.341483852363161,1.0,0,0,3084,mid_career,short_term,medium_low_amount
716,A14,30,A34,A43,3077,A65,A75,3,A93,A101,2,A123,40,A143,A152,2,A173,2,A192,A201,102.56666666666666,8.032035314398824,2.5,0,0,9231,mid_career,long_term,medium_high_amount
586,A11,9,A34,A40,2799,A61,A73,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201,311.0,7.937374696163295,0.75,0,0,5598,mid_career,short_term,medium_high_amount
341,A11,21,A32,A42,3599,A61,A74,1,A92,A101,4,A123,26,A143,A151,1,A172,1,A191,A201,171.38095238095238,8.1886891244442,1.75,0,0,3599,early_career,medium_term,medium_high_amount
630,A11,24,A32,A43,3660,A61,A73,2,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,152.5,8.205491613120236,2.0,0,0,7320,early_career,medium_term,medium_high_amount
16,A14,24,A34,A43,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,101.0,7.793586803371584,2.0,0,0,9696,senior,medium_term,medium_high_amount
14,A11,15,A32,A40,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,93.53333333333333,7.247080584585756,1.25,0,0,2806,early_career,medium_term,medium_low_amount
615,A12,48,A30,A49,12204,A65,A73,2,A93,A101,2,A123,48,A141,A152,1,A174,1,A192,A201,254.25,9.40960098282706,4.0,1,1,24408,mid_career,very_long_term,high_amount
815,A12,36,A33,A40,7432,A61,A73,2,A92,A101,2,A122,54,A143,A151,1,A173,1,A191,A201,206.44444444444446,8.913684824725294,3.0,1,1,14864,senior,long_term,high_amount
558,A11,24,A31,A42,3552,A61,A74,3,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,148.0,8.175547596021026,2.0,0,0,10656,early_career,medium_term,medium_high_amount
177,A11,6,A34,A43,338,A63,A75,4,A93,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,56.333333333333336,5.82600010738045,0.5,0,0,1352,senior,short_term,low_amount
243,A14,12,A34,A49,1185,A61,A73,3,A92,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,98.75,7.078341579557671,1.0,0,0,3555,early_career,short_term,low_amount
976,A12,6,A32,A43,753,A61,A73,2,A92,A103,3,A121,64,A143,A152,1,A173,1,A191,A201,125.5,6.625392368007956,0.5,0,0,1506,senior,short_term,low_amount
68,A14,36,A32,A46,1819,A61,A73,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,50.52777777777778,7.506591780070841,3.0,1,0,7276,mid_career,long_term,medium_low_amount
315,A11,36,A31,A42,2746,A61,A75,4,A93,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,76.27777777777777,7.918264686095274,3.0,1,0,10984,early_career,long_term,medium_high_amount
434,A11,9,A32,A42,2136,A61,A73,3,A93,A101,2,A121,25,A143,A152,1,A173,1,A191,A201,237.33333333333334,7.667158255319148,0.75,0,0,6408,young,short_term,medium_low_amount
469,A14,24,A33,A41,4679,A61,A74,3,A93,A101,3,A123,35,A143,A152,2,A172,1,A192,A201,194.95833333333334,8.451053388911692,2.0,0,1,14037,early_career,medium_term,high_amount
82,A14,18,A32,A49,1568,A62,A73,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,87.11111111111111,7.358193752733032,1.5,0,0,4704,young,medium_term,medium_low_amount
753,A14,30,A34,A43,5771,A61,A74,4,A92,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,192.36666666666667,8.660773919893762,2.5,0,1,23084,young,long_term,high_amount
225,A14,36,A30,A45,2613,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,72.58333333333333,7.868636894184167,3.0,1,0,10452,early_career,long_term,medium_high_amount
991,A14,15,A31,A43,1569,A62,A75,4,A93,A101,4,A123,34,A141,A152,1,A172,2,A191,A201,104.6,7.358830898342354,1.25,0,0,6276,early_career,medium_term,medium_low_amount
409,A13,12,A34,A40,939,A63,A74,4,A94,A101,2,A121,28,A143,A152,3,A173,1,A192,A201,78.25,6.84587987526405,1.0,0,0,3756,early_career,short_term,low_amount
279,A14,24,A32,A43,1901,A62,A73,4,A93,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,79.20833333333333,7.550661243105336,2.0,0,0,7604,early_career,medium_term,medium_low_amount
929,A11,12,A33,A40,1344,A61,A73,4,A93,A101,2,A121,43,A143,A152,2,A172,2,A191,A201,112.0,7.20414929203594,1.0,0,0,5376,mid_career,short_term,low_amount
645,A14,36,A33,A49,7980,A65,A72,4,A93,A101,4,A123,27,A143,A151,2,A173,1,A192,A201,221.66666666666666,8.984818995876008,3.0,1,1,31920,early_career,long_term,high_amount
275,A14,9,A32,A43,2697,A61,A73,1,A93,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,299.6666666666667,7.900266036767701,0.75,0,0,2697,early_career,short_term,medium_high_amount
450,A14,36,A34,A41,11054,A65,A73,4,A93,A101,2,A123,30,A143,A152,1,A174,1,A192,A201,307.05555555555554,9.310638093291546,3.0,1,1,44216,early_career,long_term,high_amount
484,A14,12,A34,A40,1163,A63,A73,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201,96.91666666666667,7.059617628291383,1.0,0,0,4652,mid_career,short_term,low_amount
869,A11,12,A32,A42,652,A61,A75,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,54.333333333333336,6.481577129276431,1.0,0,0,2608,young,short_term,low_amount
316,A11,12,A32,A42,708,A61,A73,2,A93,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,59.0,6.5638555265321274,1.0,0,0,1416,mid_career,short_term,low_amount
80,A14,24,A32,A43,5943,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,247.625,8.690137586397595,2.0,0,1,5943,mid_career,medium_term,high_amount
539,A13,18,A32,A42,3049,A61,A72,1,A92,A101,1,A122,45,A142,A152,1,A172,1,A191,A201,169.38888888888889,8.022896869601457,1.5,0,0,3049,mid_career,medium_term,medium_high_amount
249,A14,18,A32,A43,433,A61,A71,3,A92,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,24.055555555555557,6.073044534100405,1.5,0,0,1299,young,medium_term,low_amount
660,A13,12,A32,A43,1297,A61,A73,3,A94,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,108.08333333333333,7.168579897264035,1.0,0,0,3891,young,short_term,low_amount
252,A12,30,A32,A40,2150,A61,A73,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,71.66666666666667,7.67368812926773,2.5,0,0,8600,young,long_term,medium_low_amount
34,A13,12,A32,A42,1474,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,122.83333333333333,7.29641326877392,1.0,0,0,5896,early_career,short_term,medium_low_amount
290,A14,12,A32,A49,1076,A61,A73,2,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,89.66666666666667,6.981934677156389,1.0,0,0,2152,early_career,short_term,low_amount
183,A14,24,A34,A42,3777,A64,A73,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,157.375,8.236950048061455,2.0,0,0,15108,mid_career,medium_term,medium_high_amount
515,A11,6,A34,A40,609,A61,A74,4,A92,A101,3,A122,37,A143,A152,2,A173,1,A191,A202,101.5,6.413458957167357,0.5,0,0,2436,mid_career,short_term,low_amount
88,A11,18,A32,A40,2249,A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,124.94444444444444,7.718685495198466,1.5,0,0,8996,early_career,medium_term,medium_low_amount
863,A14,27,A34,A42,4526,A64,A72,4,A93,A101,2,A121,32,A142,A152,2,A172,2,A192,A201,167.62962962962962,8.417814747435958,2.25,0,1,18104,early_career,long_term,high_amount
403,A14,14,A33,A40,802,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A172,1,A191,A201,57.285714285714285,6.688354713946762,1.1666666666666667,0,0,3208,early_career,medium_term,low_amount
143,A11,18,A32,A42,2462,A61,A73,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,136.77777777777777,7.809135398120538,1.5,0,0,4924,young,medium_term,medium_high_amount
248,A13,24,A32,A42,1925,A61,A73,2,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,80.20833333333333,7.563200592358071,2.0,0,0,3850,early_career,medium_term,medium_low_amount
905,A11,12,A32,A43,1107,A61,A73,2,A93,A101,2,A121,20,A143,A151,1,A174,2,A192,A201,92.25,7.010311867307229,1.0,0,0,2214,young,short_term,low_amount
839,A14,24,A34,A43,2611,A61,A75,4,A94,A102,3,A121,46,A143,A152,2,A173,1,A191,A201,108.79166666666667,7.867871490396322,2.0,0,0,10444,mid_career,medium_term,medium_high_amount
575,A14,15,A34,A42,2788,A61,A74,2,A92,A102,3,A123,24,A141,A152,2,A173,1,A191,A201,185.86666666666667,7.933438387627489,1.25,0,0,5576,young,medium_term,medium_high_amount
32,A12,18,A32,A40,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,325.8888888888889,8.67709870892586,1.5,0,1,11732,early_career,medium_term,high_amount
71,A14,7,A34,A43,730,A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,104.28571428571429,6.594413459749778,0.5833333333333334,0,0,2920,mid_career,short_term,low_amount
861,A14,18,A33,A49,2169,A61,A73,4,A94,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,120.5,7.682482446534506,1.5,0,0,8676,early_career,medium_term,medium_low_amount
708,A12,9,A32,A43,1206,A61,A75,4,A92,A101,4,A121,25,A143,A152,1,A173,1,A191,A201,134.0,7.095893221097532,0.75,0,0,4824,young,short_term,low_amount
222,A14,12,A32,A43,707,A61,A73,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,58.916666666666664,6.56244409369372,1.0,0,0,2828,early_career,short_term,low_amount
798,A14,24,A33,A40,717,A65,A75,4,A94,A101,4,A123,54,A143,A152,2,A173,1,A192,A201,29.875,6.576469569048224,2.0,0,0,2868,senior,medium_term,low_amount
93,A13,24,A34,A42,3617,A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,150.70833333333334,8.193676665955241,2.0,0,0,14468,young,medium_term,medium_high_amount
49,A14,12,A32,A43,2073,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,172.75,7.637234388789473,1.0,0,0,8292,early_career,short_term,medium_low_amount
90,A14,12,A34,A43,618,A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,51.5,6.428105272684596,1.0,0,0,2472,senior,short_term,low_amount
690,A11,15,A34,A42,975,A61,A73,2,A91,A101,3,A122,25,A143,A152,2,A173,1,A191,A201,65.0,6.883462586413092,1.25,0,0,1950,young,medium_term,low_amount
995,A14,12,A32,A42,1736,A61,A74,3,A92,A101,4,A121,31,A143,A152,1,A172,1,A191,A201,144.66666666666666,7.459914766241105,1.0,0,0,5208,early_career,short_term,medium_low_amount
922,A11,9,A32,A43,1366,A61,A72,3,A92,A101,4,A122,22,A143,A151,1,A173,1,A191,A201,151.77777777777777,7.220373836723949,0.75,0,0,4098,young,short_term,medium_low_amount
892,A11,12,A34,A40,2171,A61,A73,4,A93,A101,4,A122,38,A141,A152,2,A172,1,A191,A202,180.91666666666666,7.683403681053826,1.0,0,0,8684,mid_career,short_term,medium_low_amount
266,A14,36,A34,A49,6304,A65,A75,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,175.11111111111111,8.74909824839902,3.0,1,1,25216,mid_career,long_term,high_amount
176,A11,12,A32,A42,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,214.75,7.8547691834991324,1.0,0,0,5154,mid_career,short_term,medium_high_amount
577,A14,24,A34,A46,1927,A65,A73,3,A92,A101,2,A123,33,A143,A152,2,A173,1,A192,A201,80.29166666666667,7.564238475170491,2.0,0,0,5781,early_career,medium_term,medium_low_amount
912,A12,30,A32,A43,2991,A65,A75,2,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,99.7,8.003697339094368,2.5,0,0,5982,young,long_term,medium_high_amount
886,A12,24,A34,A49,2825,A65,A74,4,A93,A101,3,A124,34,A143,A152,2,A173,2,A192,A201,117.70833333333333,7.946617563244473,2.0,0,0,11300,early_career,medium_term,medium_high_amount
499,A13,6,A34,A40,1323,A62,A75,2,A91,A101,4,A123,28,A143,A152,2,A173,2,A192,A201,220.5,7.188412736496954,0.5,0,0,2646,early_career,short_term,low_amount
326,A14,12,A34,A42,5801,A65,A75,2,A93,A101,4,A122,49,A143,A151,1,A173,1,A192,A201,483.4166666666667,8.665957964681349,1.0,0,1,11602,mid_career,short_term,high_amount
786,A14,22,A32,A43,2675,A63,A75,3,A93,A101,4,A123,40,A143,A152,1,A173,1,A191,A201,121.5909090909091,7.892078421248119,1.8333333333333333,0,0,8025,mid_career,medium_term,medium_high_amount
285,A11,47,A32,A40,10722,A61,A72,1,A92,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,228.12765957446808,9.280146246220145,3.9166666666666665,1,1,10722,early_career,very_long_term,high_amount
